VRMS,Flowrate,TRUE,FALSE,total,ErrorType,VRMS,Flowrate,TRUE,FALSE,total,ErrorType,,VRMS,Flowrate,TRUE,FALSE,total,ErrorType,,VRMS,Flowrate,TRUE,FALSE,total,ErrorType,VRMS,Flowrate,TRUE,FALSE,total,ErrorType,,VRMS,Flowrate,TRUE,FALSE,total,ErrorType,,,VRMS,Flowrate,TRUE,FALSE,total,ErrorType
50,5,0,10,10,,150,5,0,10,10,,,250,5,0,10,10,,,350,5,0,10,10,,450,5,0,10,10,,,550,5,0,10,10,,,,650,5,0,10,10,
50,10,0,10,10,,150,10,0,10,10,,,250,10,2,8,10,,,350,10,0,10,10,,450,10,0,10,10,,,550,10,0,10,10,,,,650,10,0,10,10,
50,15,0,10,10,,150,15,0,10,10,,,250,15,2,8,10,,,350,15,0,10,10,,450,15,0,10,10,,,550,15,0,10,10,,,,650,15,0,10,10,
50,20,0,10,10,,150,20,1,9,10,,,250,20,3,7,10,,,350,20,1,9,10,,450,20,0,10,10,,,550,20,0,10,10,,,,650,20,0,10,10,
50,24,,,10,,150,24,4,6,10,,,250,24,,,10,,,350,24,,,10,,,24,,,10,,,,24,,,10,,,,,24,,,10,
50,25,0,10,10,,150,25,2,8,10,,,250,25,2,8,10,,,350,25,4,6,10,,450,25,0,10,10,,,550,25,0,10,10,,,,650,25,1,9,10,
50,26,,,10,,150,26,3,7,10,,,250,26,,,10,,,350,26,,,10,,,26,,,10,,,,26,,,10,,,,,26,,,10,
50,28,,,10,,150,28,4,6,10,,,250,28,,,10,,,350,28,,,10,,,28,,,10,,,,28,,,10,,,,,28,,,10,
50,30,0,10,10,,150,30,4,6,10,M,,250,30,10,0,10,,,350,30,3,7,10,,450,30,2,8,10,,,550,30,0,10,10,switch,,,650,30,1,9,10,switch
50,32,,,10,,150,32,6,4,10,M,,250,32,,,10,,,350,32,,,10,,,32,,,10,,,,32,,,10,,,,,32,,,10,
50,34,,,10,,150,34,7,3,10,M,,250,34,,,10,,,350,34,,,10,,,34,,,10,,,,34,,,10,,,,,34,,,10,
50,35,0,10,10,,150,35,7,3,10,,,250,35,10,0,10,,,350,35,5,5,10,,450,35,2,8,10,,,550,35,2,8,10,switch,,,650,35,2,8,10,switch
50,36,,,10,,150,36,7,3,10,,,250,36,,,10,,,350,36,,,10,,,36,,,10,,,,36,,,10,,,,,36,,,10,
50,38,,,10,,150,38,8,2,10,,,250,38,,,10,,,350,38,,,10,,,38,,,10,,,,38,,,10,,,,,38,,,10,
50,40,0,10,10,,150,40,9,1,10,,,250,40,10,0,10,,,350,40,10,0,10,,450,40,6,4,10,,,550,40,3,7,10,switch,,,650,40,5,5,10,switch
50,45,0,10,10,,150,45,9,1,10,,,250,45,10,0,10,,,350,45,8,2,10,,450,45,5,5,10,,,550,45,3,7,10,,,,650,45,8,2,10,
50,50,0,10,10,,150,50,10,0,10,,,250,50,10,0,10,,,350,50,10,0,10,,450,50,6,4,10,,,550,50,9,1,10,,,,650,50,6,4,10,
50,55,0,10,10,,150,55,8,2,10,,,250,55,10,0,10,,,350,55,10,0,10,,450,55,8,2,10,,,550,55,7,3,10,,,,650,55,5,5,10,
50,60,0,10,10,,150,60,7,3,10,,,250,60,10,0,10,,,350,60,10,0,10,,450,60,9,1,10,,,550,60,9,1,10,,,,650,60,9,1,10,
50,65,0,10,10,,150,65,5,5,10,,,250,65,10,0,10,,,350,65,10,0,10,,450,65,9,1,10,,,550,65,10,0,10,,,,650,65,8,2,10,
50,70,0,10,10,,150,70,3,7,10,,,250,70,10,0,10,,,350,70,10,0,10,,450,70,10,0,10,,,550,70,10,0,10,,,,650,70,9,1,10,
50,75,0,10,10,,150,75,1,9,10,,,250,75,10,0,10,,,350,75,10,0,10,,450,75,10,0,10,,,550,75,10,0,10,,,,650,75,10,0,10,
50,80,0,10,10,,150,80,0,10,10,,,250,80,10,0,10,,,350,80,10,0,10,,450,80,10,0,10,,,550,80,10,0,10,,,,650,80,10,0,10,
50,85,0,10,10,,150,85,0,10,10,,,250,85,10,0,10,,,350,85,10,0,10,,450,85,10,0,10,,,550,85,10,0,10,,,,650,85,10,0,10,
50,90,0,10,10,,150,90,0,10,10,,,250,90,10,0,10,,,350,90,10,0,10,,450,90,10,0,10,,,550,90,10,0,10,,,,650,90,10,0,10,
50,95,0,10,10,,150,95,0,10,10,,,250,95,10,0,10,,,350,95,10,0,10,,450,95,10,0,10,,,550,95,10,0,10,,,,650,95,10,0,10,
50,100,0,10,10,,150,100,0,10,10,,,250,100,10,0,10,,,350,100,10,0,10,,450,100,10,0,10,,,550,100,10,0,10,,,,650,100,10,0,10,
