VRMS,Flowrate,water,oil,TRUE,FALSE,total,ErrorType,,,VRMS,Flowrate,oil,water,TRUE,FALSE,total,ErrorType,,VRMS,Flowrate,oil,water,TRUE,FALSE,total,ErrorType
650,90,0.5,1,10,0,,,,,450,80,0.5,1,,,,,,350,60,0.5,1,,,,
650,90,0.5,2,,,,,,,450,80,0.5,2,,,,,,350,60,0.5,2,,,,
650,90,0.5,3,,,,,,,450,80,0.5,3,,,,,,350,60,0.5,3,,,,
650,90,1,1,,,,,,,450,80,1,1,,,,,,350,60,1,1,,,,
650,90,1,2,,,,,,,450,80,1,2,,,,,,350,60,1,2,,,,
650,90,1,3,,,,,,,450,80,1,3,,,,,,350,60,1,3,,,,
650,90,1.5,2,,,,,,,450,80,1.5,1,,,,,,350,60,1.5,1,,,,
650,90,1.5,1,,,,,,,450,80,1.5,2,,,,,,350,60,1.5,2,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
VRMS,Flowrate,water,oil,TRUE,FALSE,total,ErrorType,,,,,,,,,,,,,,,,,,,
550,90,0.5,1,10,0,,,,,,,,,,,,,,,,,,,,,
550,90,0.5,2,,,,,,,,,,,,,,,,,,,,,,,
550,90,0.5,3,,,,,,,,,,,,,,,,,,,,,,,
550,90,1,1,,,,,,,,,,,,,,,,,,,,,,,
550,90,1,2,,,,,,,,,,,,,,,,,,,,,,,
550,90,1,3,,,,,,,,,,,,,,,,,,,,,,,
550,90,1.5,1,,,,,,,,,,,,,,,,,,,,,,,
550,90,1.5,2,,,,,,,,,,,,,,,,,,,,,,,
